,user_name,game_name,title,viewer_count,started_at,api_call_time
86,AnnaCramling,GeoGuessr,GEOGUESSR <3 !map !brave #sponsored | Sub to my !clips !yt,1826,2021-05-22 11:01:09,2021-05-22T15:06:07.937450
87,MEKABEAR,Grand Theft Auto V,[ SUBATHON ] ERIN COX ♡ NOPIXEL ,1814,2021-05-22 12:45:25,2021-05-22T15:06:07.937450
88,Florryworry,Europa Universalis IV,Masters of Puppets PDX event MP The Jianzhou Experience Final day!,1788,2021-05-22 13:51:42,2021-05-22T15:06:07.937450
89,Mmorpg,Old School RuneScape,I actually get pets nowadays | !sneak | !store,1784,2021-05-22 10:00:13,2021-05-22T15:06:07.937450
90,DoKomiTV_EN,Special Events,"DigiKomi 2021 ""VTuber Edition"" - With epic guests from hololive, VShojo and many more!",1778,2021-05-22 09:45:35,2021-05-22T15:06:07.937450
91,JonBams,Minecraft,Hardcore Minecraft 1.16.5 - 286/730,1750,2021-05-22 13:30:35,2021-05-22T15:06:07.937450
92,Nidas,Grand Theft Auto V,Leslie Lingberg | MY SECOND SUBATHON #ragstoriches #makemeabillionaire | NoPixel 3.0 | !socials !subathon,1732,2021-05-21 19:25:08,2021-05-22T15:06:07.937450
93,BTMC,osu!,OSU BATTLE ROYALE TOURNAMENT IN 20 MIN,1672,2021-05-22 14:38:57,2021-05-22T15:06:07.937450
94,CasinoDaddy,Slots,💸SLOTS WITH JESUZ💸 - FIRST JAMMIN JARS 2 REVIEW: !JJ2 - NEW DOUBLE PS5 !GIVEAWAY UP - BEST DEALS !NOSTICKY,1667,2021-05-22 08:13:52,2021-05-22T15:06:07.937450
95,BEMBARA,,Pratite nas na facebook.com/groups/bembara i na Discordu dsc.gg/bembara,1641,2021-05-22 14:01:14,2021-05-22T15:06:07.937450
96,RyuQuezacotl,Diablo II,BARBARIAN !RACE vs Indrek + 327 !update,1627,2021-05-22 06:55:15,2021-05-22T15:06:07.937450
97,Swifty,World of Warcraft,Swifty - Classic TBC 1 min Ques alliance FTW,1599,2021-05-22 11:55:43,2021-05-22T15:06:07.937450
98,Pengu,Tom Clancy's Rainbow Six Siege,!Charm !Prime -INVITATIONALS VIEWING PARTY !multi !next - ENTER THE INVITATIONAL MOUSE !giveaway,1578,2021-05-22 10:51:55,2021-05-22T15:06:07.937450
99,NoobOwl,Teamfight Tactics,Rank 1 NA/Global | Shorter morning stream | New Setup | !discord !coaching !twitter !donations !patch !scores,1575,2021-05-22 13:15:33,2021-05-22T15:06:07.937450
